Country,Languages,Regionals
Abkhazia,Abkhaz,[]
Abkhazia,Russian,[]
Afghanistan,Pashto,"['Uzbek language', None, 'Turkmen language', None, 'Pashayi languages', None, 'Nuristani languages', None, 'Balochi language', None, 'Pamir languages', None]"
Afghanistan,Persian,"['Uzbek language', None, 'Turkmen language', None, 'Pashayi languages', None, 'Nuristani languages', None, 'Balochi language', None, 'Pamir languages', None]"
Albania,Albanian,[]
Algeria,Arabic,[]
Algeria,Tamazight,[]
Andorra,Catalan,[]
Angola,Portuguese,[]
Antigua and Barbuda,English,[]
Argentina,Spanish,"['Corrientes Province', 'Chaco Province', None, None, 'Guarani language', None, 'Kom language (South America)', None, 'Mocoví language', None, 'Wichí languages', None]"
Armenia,Armenian,[]
Artsakh,Armenian,[]
Australia,English,[]
Austria,German,"['Croatian language', 'Burgenland', 'Hungarian language', 'Slovene language', 'Carinthia']"
Azerbaijan,Azerbaijani,[]
Bahamas,English,[]
Bahrain,Arabic,[]
Bangladesh,Bengali,[]
Barbados,English,[]
Belarus,Belarusian,[]
Belarus,Russian,[]
Belgium,Dutch,"['Dutch language', 'Flanders', 'Brussels', None, 'French language', 'Wallonia', None, 'German-speaking Community of Belgium', None]"
Belgium,French,"['Dutch language', 'Flanders', 'Brussels', None, 'French language', 'Wallonia', None, 'German-speaking Community of Belgium', None]"
Belgium,German,"['Dutch language', 'Flanders', 'Brussels', None, 'French language', 'Wallonia', None, 'German-speaking Community of Belgium', None]"
Belize,English,"['Spanish language', 'Mexico', 'Guatemala']"
Benin,French,[]
Bhutan,Dzongkha,[]
Bolivia,Castilian,[]
Bolivia,37 others,[]
Bosnia and Herzegovina,Bosnian,[]
Bosnia and Herzegovina,Croatian,[]
Bosnia and Herzegovina,Serbian,[]
Botswana,English,[]
Botswana,Tswana,[]
Brazil,Portuguese,"['Pomerode', None, 'East Pomeranian dialect', 'Pancas', None, None, 'Santa Maria de Jetibá', None, None, None, 'Domingos Martins', None, 'Itarana', None, None, 'Laranja da Terra', None, 'Vila Pavão', None, 'Canguçu', None, 'Riograndenser Hunsrückisch German', 'Santa Catarina (state)', None, 'Santa Maria do Herval', 'Rio Grande do Sul', None, None, None, None, 'Talian dialect', 'Bento Gonçalves, Rio Grande do Sul', None, None, None, 'Caxias do Sul', None, 'Flores da Cunha', None, None, None, 'Nova Roma do Sul', None, None, 'Serafina Corrêa', None, 'Nheengatu', 'Baniwa of Içana', 'Tucano language', 'São Gabriel da Cachoeira', 'Amazonas (Brazilian state)', None, None, 'Guarani language', 'Tacuru', 'Mato Grosso do Sul', None]"
Brunei,Malay,[]
Brunei,English,[]
Bulgaria,Bulgarian,[]
Burkina Faso,French,[]
Burundi,French,[]
Burundi,Kirundi,[]
Burundi,English,[]
Cambodia,Khmer,[]
Cameroon,English,[]
Cameroon,French,[]
Canada,English,"['Chipewyan language', 'Northwest Territories', 'Cree language', 'Gwich’in language', 'Inuinnaqtun', 'Nunavut', 'Inuktitut', 'Inuvialuktun', 'Slavey language', 'Slavey language', 'Dogrib language']"
Canada,French,"['Chipewyan language', 'Northwest Territories', 'Cree language', 'Gwich’in language', 'Inuinnaqtun', 'Nunavut', 'Inuktitut', 'Inuvialuktun', 'Slavey language', 'Slavey language', 'Dogrib language']"
Cape Verde,Portuguese,[]
Central African Republic,French,[]
Chad,Arabic,[]
Chad,French,[]
Chile,Spanish,[None]
China,Mandarin,"['English language', 'Hong Kong', 'Portuguese language', 'Macau']"
Colombia,Spanish,[None]
